"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length","Shape_Area","area_ha","cost_ha","new_prob","cum_area_ha"
"3422",18075,369,3,369,369,313,118940,4000,1e+06,100,1189.4,0.519,39253
"6070",32945,18174,10,18174,18174,17132,1117665,25400,10770000,1077,1037.75766016713,0.2184,40330
"2676",14475,2155,3,2155,2155,2106,87417,3800,9e+05,90,971.3,0.61365,40420
"1538",10319,5495,8,5495,5495,5176,67149,7000,2420000,242,277.47520661157,0.76305,40662
"3194",17047,989,5,989,989,903,79400,7000,2060000,206,385.436893203883,0.55035,40868
"6690",35012,3101,3,3101,3101,3015,195350,3400,7e+05,70,2790.71428571429,0.1323,40938
"4983",27868,9048,6,9048,9048,8834,2472560,3200,640000,64,38633.75,0.37035,41002
"339",3168,10026,1,10026,10026,9527,144901,3200,640000,64,2264.078125,0.9195,41066
"6638",34746,10611,10,10611,10611,10200,1710126,9600,1920000,192,8906.90625,0.1389,41258
"3386",17878,447,2,447,447,439,118175,3000,560000,56,2110.26785714286,0.52395,41314
"1227",9060,6426,2,6426,6426,6191,154750,3400,7e+05,70,2210.71428571429,0.8055,41384
"1923",11489,4502,1,4502,4502,4363,591777,3600,8e+05,80,7397.2125,0.7098,41464
"5300",29368,16247,8,16247,16247,15712,412402,16800,6070000,607,679.410214168039,0.32865,42071
"1525",10287,5461,4,5461,5461,5312,47360,3600,8e+05,80,592,0.765,42151
"3464",18312,218,6,218,218,172,89861,3000,560000,56,1604.66071428571,0.51315,42207
"814",6791,15553,8,15553,15553,15030,195144,6400,1260000,126,1548.7619047619,0.86295,42333
"143",936,11564,4,11564,11564,10499,105010,3000,560000,56,1875.17857142857,0.9408,42389
"6125",33081,10896,10,10896,10896,10512,214182,6400,1270000,127,1686.47244094488,0.21045,42516
"805",6741,7779,4,7779,7779,7520,53095,2800,490000,49,1083.57142857143,0.8643,42565
