"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length_1","Shape_Area_1","Shape_Length","Shape_Area","area_ha","cum_area_ha"
"7162",36571,1465,2,1465,1465,720,81,376140,306918000,3600,800000,80,1006946
"8508",43347,11673,8,11673,11673,2279,203,9780,1976400,14800,4220000,422,1007368
"271",1946,10861,3,10861,10861,2370,81,3360,683100,3600,800000,80,1007448
"8559",43633,2564,2,2564,2564,514,81,8400,4257900,4000,1000000,100,1007548
"2927",15874,1276,4,1276,1276,250,21,3000,558900,3000,560000,56,1007604
"6221",33142,5180,6,5180,5180,1042,43,4440,1080000,3200,630000,63,1007667
"2111",11984,3974,2,3974,3974,1129,81,84840,46410300,5400,1700000,170,1007837
"2774",14969,1851,6,1851,1851,365,82,8040,3076200,3000,560000,56,1007893
"1953",11429,8861,2,8861,8861,4060,82,6358560,7426404000,9600,2680000,268,1008161
"728",5782,8380,2,8380,8380,1990,90,21000,9127800,3600,800000,80,1008241
"514",4144,9661,2,9661,9661,2187,71,2820,496800,2800,490000,49,1008290
"6161",32985,5527,1,5527,5527,2030,41,3179280,3713202000,3000,560000,56,1008346
"157",1146,11431,2,11431,11431,2500,82,3660,826200,3600,800000,80,1008426
"7977",40676,9893,6,9893,9893,2214,71,6840,2189700,4800,1190000,119,1008545
"3212",17563,1250,7,1250,1250,209,102,7080,1555200,8600,2340000,234,1008779
"8676",44293,8093,2,8093,8093,1859,90,4440,1080000,4400,1050000,105,1008884
"7874",40129,10865,2,10865,10865,2390,71,8580,2997000,4000,1000000,100,1008984
"8014",40869,9656,5,9656,9656,2147,82,4800,1179900,9400,3750000,375,1009359
"5818",31721,13558,8,13558,13558,2933,85,7860,2003400,13200,4390000,439,1009798
"2800",15124,3662,2,3662,3662,4060,82,6358560,7426404000,7000,1500000,150,1009948
"6895",35663,2646,1,2646,2646,2030,41,3179280,3713202000,4800,1190000,119,1010067
"953",7135,7611,2,7611,7611,1734,42,2820,496800,2800,490000,49,1010116
"5789",31606,6818,4,6818,6818,1504,41,33240,26533800,6400,1990000,199,1010315
"1878",11169,4854,3,4854,4854,928,71,4860,1231200,4400,1050000,105,1010420
"1112",8165,7207,2,7207,7207,1603,42,7080,2570400,6400,1830000,183,1010603
"8152",41812,25594,9,25594,25594,5934,270,12840,3223800,10000,2130000,213,1010816
"458",3477,19816,4,19816,19816,4447,172,13560,4131900,7200,1630000,163,1010979
"2730",14814,5938,3,5938,5938,6090,123,9537840,11139606000,9800,1990000,199,1011178
"2491",13927,2754,3,2754,2754,583,41,9960,4131900,5000,1360000,136,1011314
"6810",35353,2981,1,2981,2981,2030,41,3179280,3713202000,3400,700000,70,1011384
"5760",31428,20556,3,20556,20556,4965,129,134280,101795400,9800,1960000,196,1011580
"7393",37434,601,1,601,601,2030,41,3179280,3713202000,3200,640000,64,1011644
"7130",36451,3308,6,3308,3308,720,162,7860,1790100,8200,1890000,189,1011833
"7796",39749,11375,4,11375,11375,2485,90,4980,1242000,3400,700000,70,1011903
"6364",33562,4778,3,4778,4778,901,43,3000,561600,6600,2060000,206,1012109
"3241",17700,6623,23,6623,6623,1171,488,40440,13203900,26800,6400000,640,1012749
"3372",18378,411,6,411,411,81,102,17100,5481000,6000,1120000,112,1012861
"3466",19009,10869,2,10869,10869,2371,90,2760,476100,3600,800000,80,1012941
"879",6637,7990,3,7990,7990,1835,43,2820,496800,3400,700000,70,1013011
"1952",11425,4364,2,4364,4364,860,21,3240,648000,3200,630000,63,1013074
"2801",15128,1806,1,1806,1806,378,21,9840,4288500,3600,800000,80,1013154
"7854",40034,10972,3,10972,10972,2390,71,8580,2997000,3400,700000,70,1013224
"7324",37128,792,3,792,792,127,81,3000,558900,3000,560000,56,1013280
"3156",17325,762,3,762,762,122,81,8400,3015900,4400,1050000,105,1013385
"1625",10395,10777,5,10777,10777,2288,162,20160,8099100,6600,1360000,136,1013521
"3594",19668,10351,3,10351,10351,2292,90,4080,1040400,3000,560000,56,1013577
"5670",30965,7172,1,7172,7172,2655,42,3026520,4013760600,3000,560000,56,1013633
"8293",42508,13983,6,13983,13983,3095,82,6540,1304100,6600,1330000,133,1013766
"8021",40900,9314,2,9314,9314,2128,42,2940,538200,3000,560000,56,1013822
"8220",42123,8244,7,8244,8244,1856,71,2880,518400,5000,1360000,136,1013958
"8517",43407,3649,2,3649,3649,735,41,24180,9568800,3400,700000,70,1014028
"1299",9063,6629,3,6629,6629,1421,81,3060,583200,2800,490000,49,1014077
"1580",10275,5430,2,5430,5430,1100,41,3240,656100,3400,720000,72,1014149
"622",5067,8994,4,8994,8994,2091,90,11580,4916700,3800,900000,90,1014239
"226",1710,11093,1,11093,11093,2655,42,3026520,4013760600,2800,490000,49,1014288
"2202",12484,7227,4,7227,7227,1589,162,60000,26571600,7400,1720000,172,1014460
"269",1933,10839,2,10839,10839,2378,82,3360,683100,3400,700000,70,1014530
"6443",33880,4472,2,4472,4472,878,42,9840,3267000,3600,800000,80,1014610
"6177",33017,5481,2,5481,5481,1091,43,5040,1385100,4800,1190000,119,1014729
"5304",28914,16597,6,16597,16597,3836,133,52320,26125200,6800,1400000,140,1014869
"3377",18392,212,1,212,212,2030,41,3179280,3713202000,4800,1190000,119,1014988
"1934",11351,9014,7,9014,9014,1748,84,9600,2419200,13200,4250000,425,1015413
"1407",9709,18699,9,18699,18699,3963,165,36600,21651300,11800,2990000,299,1015712
"8140",41709,8591,3,8591,8591,1979,42,8040,2422800,3400,700000,70,1015782
"5702",31087,14493,2,14493,14493,5310,84,6053040,8027521200,12000,3700000,370,1016152
"5069",27678,9178,1,9178,9178,2655,42,3026520,4013760600,3600,800000,80,1016232
"132",893,11698,3,11698,11698,2561,43,8340,2520000,3400,700000,70,1016302
"1126",8226,14011,6,14011,14011,3124,172,26640,10719900,6600,1340000,134,1016436
"2076",11856,7953,6,7953,7953,1588,83,7860,1763100,6400,1280000,128,1016564
"6029",32681,5933,2,5933,5933,1222,42,3420,712800,2800,490000,49,1016613
"596",4825,9207,3,9207,9207,2111,90,3600,801900,4000,1000000,100,1016713
"2722",14781,2195,3,2195,2195,441,41,6600,1927800,8200,2750000,275,1016988
"2873",15470,1497,3,1497,1497,302,21,3000,561600,3600,800000,80,1017068
"3259",17780,438,2,438,438,69,81,4080,1040400,3400,700000,70,1017138
"1578",10261,5557,4,5557,5557,1116,43,3180,621000,4600,1200000,120,1017258
"4490",24231,11850,1,11850,11850,2655,42,3026520,4013760600,3400,700000,70,1017328
"174",1370,23240,4,23240,23240,5138,180,23880,10978200,11600,3390000,339,1017667
"2994",16347,1114,1,1114,1114,222,21,7440,2754000,3400,700000,70,1017737
"8592",43749,1884,2,1884,1884,398,43,3000,558900,3000,560000,56,1017793
"1540",10182,5582,4,5582,5582,1183,41,20400,7442100,2800,490000,49,1017842
"6157",32973,5460,2,5460,5460,1115,43,9000,3456000,3000,560000,56,1017898
"8563",43656,2447,1,2447,2447,2030,41,3179280,3713202000,3600,800000,80,1017978
"5394",29387,15773,4,15773,15773,4474,123,3029940,4014473400,7600,1800000,180,1018158
"4594",25049,11368,2,11368,11368,2484,52,2820,496800,2800,490000,49,1018207
"5364",29172,8074,2,8074,8074,1875,82,9840,2973600,5800,1540000,154,1018361
"1750",10716,4979,3,4979,4979,990,41,8040,2540700,4800,1190000,119,1018480
"4293",23021,8651,1,8651,8651,2655,42,3026520,4013760600,8400,3690000,369,1018849
"8645",44098,385,1,385,385,69,81,4080,1040400,4000,1000000,100,1018949
"4536",24484,11581,1,11581,11581,2655,42,3026520,4013760600,3000,560000,56,1019005
"227",1716,11019,1,11019,11019,2445,43,31740,18117900,3400,700000,70,1019075
"1999",11605,4044,2,4044,4044,800,43,4800,1350000,3800,900000,90,1019165
"1782",10801,4935,4,4935,4935,1001,81,18600,6478200,4000,1000000,100,1019265
"4900",26658,9900,2,9900,9900,2215,21,3420,703800,5000,1260000,126,1019391
"1209",8684,13736,7,13736,13736,3005,86,8400,2003400,8000,1920000,192,1019583
"6978",35962,2320,2,2320,2320,488,81,3360,683100,4600,1200000,120,1019703
"8721",44462,1191,1,1191,1191,263,21,15180,8449200,3400,700000,70,1019773
"7574",38337,194,6,194,194,4093,163,6363300,7427770200,16000,4500000,450,1020223
"5566",30441,7374,3,7374,7374,1705,82,8340,3481200,3200,640000,64,1020287
"7371",37303,550,1,550,550,2030,41,3179280,3713202000,3800,900000,90,1020377
"6559",34217,3841,1,3841,3841,2030,41,3179280,3713202000,2800,490000,49,1020426
"4634",25389,11291,3,11291,11291,2460,31,13740,5148900,3400,720000,72,1020498
"8580",43720,2131,2,2131,2131,464,21,5220,1539000,3200,640000,64,1020562
"3297",17944,464,3,464,464,73,81,3360,683100,8000,3050000,305,1020867
"7710",39108,11755,3,11755,11755,2590,90,6360,1872000,3000,560000,56,1020923
"2746",14850,2001,1,2001,2001,2030,41,3179280,3713202000,5400,1700000,170,1021093
"2924",15854,2938,5,2938,2938,624,162,32640,17140500,8200,1910000,191,1021284
"4893",26631,10032,3,10032,10032,2216,90,2760,476100,10000,3840000,384,1021668
"5751",31371,7006,4,7006,7006,1548,52,3060,583200,3600,800000,80,1021748
"6178",33021,5572,4,5572,5572,1119,81,28200,15775200,11400,4610000,461,1022209
"6719",34881,3343,2,3343,3343,664,81,20340,10015200,3000,560000,56,1022265
"7139",36470,4799,11,4799,4799,947,123,36480,22923000,9800,1990000,199,1022464
"8570",43685,2631,2,2631,2631,538,81,3420,712800,11800,5600000,560,1023024
"2679",14600,4648,4,4648,4648,968,162,85260,59864400,10000,2720000,272,1023296
"2219",12589,3517,2,3517,3517,695,81,3660,826200,6400,1990000,199,1023495
"4428",23980,24081,8,24081,24081,5308,180,10800,3385800,8400,2200000,220,1023715
"36",206,12090,1,12090,12090,2667,90,52800,26816400,3200,630000,63,1023778
"7225",36818,1222,2,1222,1222,232,41,6420,1944000,5000,1360000,136,1023914
"4909",26724,9938,1,9938,9938,2655,42,3026520,4013760600,5000,1360000,136,1024050
"7339",37181,665,2,665,665,114,42,7020,2251800,3800,900000,90,1024140
"3732",20364,9603,1,9603,9603,2655,42,3026520,4013760600,4000,1000000,100,1024240
"5903",32076,6440,4,6440,6440,1372,42,5820,1618200,3600,800000,80,1024320
"2024",11691,4013,2,4013,4013,815,41,21540,10444500,3400,720000,72,1024392
"3088",17013,1073,3,1073,1073,232,41,6420,1944000,6400,1990000,199,1024591
"3270",17813,472,2,472,472,84,81,3660,826200,3600,800000,80,1024671
"1336",9273,6418,2,6418,6418,1368,43,10200,4150800,4400,1120000,112,1024783
"6587",34302,3780,2,3780,3780,745,42,3060,583200,3000,560000,56,1024839
"7053",36182,1989,1,1989,1989,2030,41,3179280,3713202000,2800,490000,49,1024888
"2289",13061,6467,4,6467,6467,1664,162,232200,119700000,6800,1490000,149,1025037
"5580",30491,7481,3,7481,7481,1669,41,39300,21276000,4000,1000000,100,1025137
"8124",41583,8953,3,8953,8953,2060,82,10080,3924900,10200,4780000,478,1025615
"2630",14368,2213,4,2213,2213,463,21,3600,810000,3600,810000,81,1025696
"51",270,24071,10,24071,24071,5287,63,8820,2115000,8400,1990000,199,1025895
"7537",38174,194,1,194,194,2030,41,3179280,3713202000,7000,2500000,250,1026145
"4924",26811,9808,2,9808,9808,2290,43,45300,25983900,2800,490000,49,1026194
"3913",21379,11941,5,11941,11941,3314,83,3182880,3714003900,6400,1260000,126,1026320
"6068",32767,5938,5,5938,5938,1251,81,4980,1360800,6800,2400000,240,1026560
"5164",28210,8949,2,8949,8949,2071,43,3840,918000,3400,720000,72,1026632
"4855",26414,10097,2,10097,10097,2267,90,3420,729000,3400,720000,72,1026704
"526",4238,9516,3,9516,9516,2165,42,10020,5472900,3600,800000,80,1026784
"6014",32647,5934,2,5934,5934,1222,42,3420,712800,3000,560000,56,1026840
"1885",11184,4449,4,4449,4449,871,81,4980,1242000,3400,700000,70,1026910
"729",5797,8671,5,8671,8671,2019,71,3360,683100,3400,700000,70,1026980
"529",4244,9504,2,9504,9504,2162,82,3240,656100,3200,640000,64,1027044
"4778",26148,10731,3,10731,10731,2357,82,2940,538200,3000,560000,56,1027100
"2826",15296,5096,7,5096,5096,1462,243,385860,309380400,11600,2750000,275,1027375
"1185",8583,6845,5,6845,6845,1511,81,4020,1009800,3400,700000,70,1027445
"7146",36491,1498,3,1498,1498,302,21,3000,561600,3000,560000,56,1027501
"8389",42898,5828,2,5828,5828,1240,81,143700,79089300,4000,1000000,100,1027601
"7025",36111,2100,3,2100,2100,426,41,6840,2276100,3400,720000,72,1027673
"6226",33154,5490,2,5490,5490,1139,41,13440,6922800,3600,800000,80,1027753
"7199",36754,2647,12,2647,2647,459,122,13380,5291100,11800,3450000,345,1028098
"8674",44284,16098,4,16098,16098,4469,132,3030540,4014770400,5800,1050000,105,1028203
"7515",38078,246,3,246,246,43,81,3420,712800,3600,800000,80,1028283
